"run_id","time_min","V_cum_upper_mL","V_cum_eta_mL"
5,2,0.358163447188882,0.173438372267033
5,3,0.584095876621969,0.250246198680732
5,4,0.813482063170122,0.385076741647089
5,5,1.01549705469164,0.510942017337152
5,6,1.17374432748764,0.60544542070832
5,7,1.3361835491599,0.660124814129832
5,8,1.55994213347582,0.78468761399395
5,9,1.77126687945591,0.911646742503306
5,10,1.97222594997235,1.07597716197649
5,11,2.17050330271893,1.13354498973664
5,12,2.3805941600399,1.22411220017184
5,13,2.55309263495334,1.28818518361282
5,14,2.69989398707753,1.32903863487923
5,15,2.91644832384336,1.39556263534625
5,16,3.06526450124168,1.49423828261379
5,17,3.23589487416809,1.59222411628874
5,18,3.45592231518208,1.66673695182806
5,19,3.65705063152239,1.81094328442023
5,20,3.87246888832934,1.90477554462959
5,21,4.05424845549158,2.02761877142466
5,22,4.30757492501551,2.13288259027746
5,23,4.52875596560202,2.28809046311278
5,24,4.71760182997738,2.33110570263357
5,25,4.8919970929266,2.37100884400643
5,26,5.13909805552443,2.50012575435397
5,27,5.31811460133483,2.58318089835587
5,28,5.48705223599729,2.73207160810458
5,29,5.64927100002213,2.87430289564692
5,30,5.81021575376566,3.01789298498924
6,0,0,0
6,1,0.180647206900763,0.0495263069126091
6,2,0.419147810583211,0.100225701729
6,3,0.617932423588295,0.239515902844487
6,4,0.772419374395272,0.319416214877882
6,5,1.00134553310637,0.496475525225359
6,6,1.22445140585859,0.651712588028999
6,7,1.40902377711668,0.782483877843525
6,8,1.62129742463007,0.944933204846054
6,9,1.7720775148813,1.07820149111684
6,10,1.96863940507541,1.23610917159523
6,11,2.1503678913118,1.34574517459843
6,12,2.39402899775239,1.50228420551922
6,13,2.59112166147467,1.56623261268157
6,14,2.83439818498125,1.77239745127566
6,15,2.99934298895462,1.85676535060387
6,16,3.15715365557523,1.92039631626615
6,17,3.31378669958185,1.9765700595351
6,18,3.50429895899637,2.03033679558249
6,19,3.73249137748774,2.15767343629174
6,20,3.89044392183509,2.20886865452658
6,21,4.10877111069033,2.40347207296827
6,22,4.35818769766559,2.51263121424392
6,23,4.53041166305641,2.59025207395232
6,24,4.68620991022808,2.62754183914758
6,25,4.93895306311414,2.75055203175114
6,26,5.08468869572238,2.7969552093097
6,27,5.28360840481139,2.83730797356414
6,28,5.46042743884958,2.88317422781662
6,29,5.65635445957006,3.05674635954632
6,30,5.8585383067465,3.13995862043717
7,0,0,0
7,1,0.204405854766892,0.135260395625383
7,2,0.392064229789452,0.275485331785037
7,3,0.545628379155783,0.385421218465102
7,4,0.743333730674143,0.53125294339652
7,5,0.992598147983068,0.70896795848717
7,6,1.21027270413447,0.863944876868894
7,7,1.3621733152898,0.911762680713959
7,8,1.57633167347419,1.01394294847462
7,9,1.80711494177452,1.15424948542063
7,10,1.97747762532045,1.22034045602763
7,11,2.15444523489656,1.31746203863102
7,12,2.34946189884001,1.42543321255513
7,13,2.57152835654677,1.47399018096215
7,14,2.82527199245964,1.62427520488397
7,15,2.99865403586298,1.7132593331848
7,16,3.22608731485711,1.88391178053939
7,17,3.47878433693774,2.03068584215918
7,18,3.69748984251614,2.18072461016921
7,19,3.94339753492226,2.2708591664091
7,20,4.13064360650466,2.37901392961449
7,21,4.34479676549585,2.49266158812037
7,22,4.53887903901434,2.55986872288989
7,23,4.75268099059266,2.73573876280035
7,24,4.97457145660395,2.89249150311154
7,25,5.17992802165837,3.02645807009899
7,26,5.42640495519728,3.24511790004087
7,27,5.63585166552391,3.29945517335404
7,28,5.81130612291493,3.37283637777177
7,29,5.97945263192562,3.51810635923966
7,30,6.22695539098872,3.6206383776191
8,0,0,0
8,1,0.16405381582275,0.13338736024079
8,2,0.320777277475678,0.270691138002136
8,3,0.570842232016319,0.367022867647067
8,4,0.817348049072357,0.57675948011469
8,5,1.02547083115181,0.624061630700152
8,6,1.27587764702522,0.689118909183585
8,7,1.50716747767549,0.747747674919966
8,8,1.73771599738009,0.891459275128681
8,9,1.97649885835698,0.962051785536522
8,10,2.12674558101613,1.03958265571461
8,11,2.29355530560672,1.10879014042763
8,12,2.45561132040253,1.15450670604372
8,13,2.67237046762051,1.34147376480307
8,14,2.87134283763735,1.44674545473971
8,15,3.09867005059157,1.55937072634654
8,16,3.28426669452539,1.68684337908175
8,17,3.49378328810733,1.79747573285714
8,18,3.71412082461256,1.92085664756879
8,19,3.91574058846901,2.09503554443998
8,20,4.13785930196836,2.23486831868777
8,21,4.31234975609735,2.36039791141351
8,22,4.56458878088696,2.4360099626276
8,23,4.80124235670328,2.59501720784685
8,24,4.98188776537975,2.67613768585826
8,25,5.20211397660824,2.78686117564617
8,26,5.45048837199755,2.94723895359665
8,27,5.59783259444281,3.03935642709719
8,28,5.75134652304993,3.12300556950923
8,29,5.96081428567267,3.25960298452818
8,30,6.17277831327618,3.38979470946803
9,0,0,0
9,1,0.218133778103309,0.101584454565066
9,2,0.436335892783536,0.243666260768268
9,3,0.628129423859422,0.373356690325619
9,4,0.792520469087582,0.408194709029279
9,5,0.94316201646923,0.503118608207083
9,6,1.18321860614696,0.630780477031498
9,7,1.41191397463002,0.748031816434262
9,8,1.63175358211804,0.891774119976091
9,9,1.85125681871003,0.953743516517682
9,10,2.03515916862485,1.03768560388735
9,11,2.24404343055237,1.11060772906681
9,12,2.45285267889673,1.27370266810506
9,13,2.61420064424882,1.30625667669654
9,14,2.77261992268366,1.34419994198695
9,15,3.01548298397149,1.43145374737591
9,16,3.26440457106504,1.63076074568088
9,17,3.5080834476963,1.7169949498456
9,18,3.66636216546366,1.81984535245995
9,19,3.84836737128771,1.90494333852315
9,20,4.01887571023623,2.04064616104862
9,21,4.24836434082848,2.12418475062864
9,22,4.4213597360769,2.17439791478057
9,23,4.59397785158521,2.27222907051925
9,24,4.82736838142003,2.41446909987963
9,25,5.07634002186449,2.57331749995131
9,26,5.27458483003789,2.67570047826668
9,27,5.47542115293669,2.81943149658781
9,28,5.72340329701546,3.02412488839048
9,29,5.91351443507964,3.06800028356277
9,30,6.1465335682532,3.25041358238377
10,0,0,0
10,1,0.160427869597898,0.0860075161714248
10,2,0.38898299160364,0.162683294225447
10,3,0.574369109134323,0.211321985362542
10,4,0.720965055596655,0.267336878173536
10,5,0.958736641115939,0.375601521918125
10,6,1.16841470901293,0.474946143921584
10,7,1.32983621044109,0.571980514862929
10,8,1.53076445526434,0.738068323647819
10,9,1.72440937105479,0.831837725781253
10,10,1.92478321712622,0.918637908512706
10,11,2.08701751103814,1.04093149174871
10,12,2.34060380111459,1.16689519772951
10,13,2.49822259195889,1.27810372291417
10,14,2.72111832692166,1.33674256161077
10,15,2.88142682916788,1.47592649868029
10,16,3.0396225356916,1.56841793156266
10,17,3.20848632551853,1.64519999295813
10,18,3.44771955118114,1.76358790635607
10,19,3.62297306541514,1.91257284440101
10,20,3.77099824701403,1.99488302595602
10,21,3.94094543129363,2.08119698941087
10,22,4.18318946741455,2.28881576509996
10,23,4.35345006141609,2.34141263124592
10,24,4.52145743928246,2.4874661678316
10,25,4.69728880868132,2.53602858254227
10,26,4.86254919865916,2.62441925094372
10,27,5.11152892778566,2.84507528366329
10,28,5.30344377481433,2.89051806071771
10,29,5.47218438157334,2.95662218935286
10,30,5.68773877527172,3.09333520327579
11,0,0,0
11,1,0.201461112867501,0.0913792295310174
11,2,0.425956533411539,0.200351387666372
11,3,0.642025154368893,0.305865878575859
11,4,0.886417876606037,0.425859174825718
11,5,1.09748683681356,0.568379946985903
11,6,1.27161996580895,0.657548767473145
11,7,1.48084640438124,0.703324550637263
11,8,1.69404200046056,0.852146065286992
11,9,1.92310484869408,0.898810970026262
11,10,2.1080724072822,0.974170102130499
11,11,2.34427596047035,1.1388649718294
11,12,2.57871278668374,1.22167958301785
11,13,2.73428194978474,1.30882362219229
11,14,2.9192777958134,1.34928193881865
11,15,3.12083796096023,1.47165303901387
11,16,3.28864008443393,1.60445497900795
11,17,3.5285734418105,1.81260890133575
11,18,3.69888985225649,1.89550762569121
11,19,3.86684347023061,1.95001955172983
11,20,4.07268317299023,2.10359753018578
11,21,4.2470093442149,2.25852439141485
11,22,4.49579914930224,2.38323808307234
11,23,4.69088889107784,2.54433653744661
11,24,4.89596168043476,2.68957607496618
11,25,5.1307586324417,2.81821176033733
11,26,5.377018109878,2.98321561333171
11,27,5.62328691401725,3.11420603355904
11,28,5.80818704769749,3.18953107918108
11,29,6.01960102373454,3.23269603703964
11,30,6.26316363019535,3.38384163421242
12,0,0,0
12,1,0.253783900594465,0.081297888091013
12,2,0.46662264691757,0.187288090754246
12,3,0.621708215395255,0.319026028108121
12,4,0.852566826154749,0.492722820197746
12,5,1.0284369074632,0.549186033862598
12,6,1.17840635420674,0.681866627240428
12,7,1.38242676431772,0.771042313327714
12,8,1.56492209266932,0.879101654615086
12,9,1.74054545974179,0.949908944086648
12,10,1.96831043494739,1.06115667814634
12,11,2.1829798597749,1.24347253573857
12,12,2.41538001285889,1.35500769795702
12,13,2.60667348024489,1.42561901773385
